Data,Abrir,Alto,Baixo,Fechar,Adj Fechar,Volume
9 de março de 2026,"176,83","182,91","175,56","182,65","182,65",176.547.500
6 de março de 2026,"179,84","182,76","176,82","177,82","177,82",189.021.900
5 de março de 2026,"181,17","184,06","177,88","183,34","183,34",198.779.700
4 de março de 2026,"180,44","184,7","180,06","183,04","183,04",177.731.200
3 de março de 2026,"178,49","180,9","176,92","180,05","180,05",178.099.400
2 de março de 2026,"175,01","183,46","174,64","182,48","182,48",209.095.300
27 de fevereiro de 2026,"181,25","182,59","176,38","177,19","177,19",311.636.500
26 de fevereiro de 2026,"194,27","194,29","184,32","184,89","184,89",360.807.900
25 de fevereiro de 2026,"194,45","197,63","193,79","195,56","195,56",250.637.300
24 de fevereiro de 2026,"191,49","193,77","187,4","192,85","192,85",175.123.600
23 de fevereiro de 2026,"191,4","193,95","189,58","191,55","191,55",171.584.800
20 de fevereiro de 2026,"186,57","190,33","185,94","189,82","189,82",178.422.300
19 de fevereiro de 2026,"187,06","188,43","185,66","187,9","187,9",126.554.500
18 de fevereiro de 2026,"188,75","190,37","186,76","187,98","187,98",164.749.100
17 de fevereiro de 2026,"181,75","187,15","179,18","184,97","184,97",162.276.900
13 de fevereiro de 2026,"187,48","187,5","181,59","182,81","182,81",161.888.000
12 de fevereiro de 2026,"193,03","193,61","186,51","186,94","186,94",189.932.500
11 de fevereiro de 2026,"192,45","193,26","188,77","190,05","190,05",144.192.700
10 de fevereiro de 2026,"191,38","192,48","188,12","188,54","188,54",136.764.800
9 de fevereiro de 2026,"184,26","193,66","183,95","190,04","190,04",196.387.400
6 de fevereiro de 2026,"176,69",187,"174,6","185,41","185,41",231.346.200
5 de fevereiro de 2026,"174,93","176,82","171,03","171,88","171,88",206.312.900
4 de fevereiro de 2026,"179,46","179,58","171,91","174,19","174,19",207.014.100
3 de fevereiro de 2026,"186,24","186,27","176,23","180,34","180,34",204.019.500
2 de fevereiro de 2026,"187,2","190,3","184,88","185,61","185,61",165.794.100
30 de janeiro de 2026,"191,21","194,49","189,47","191,13","191,13",179.489.500
29 de janeiro de 2026,"191,34","193,48","186,06","192,51","192,51",171.764.400
28 de janeiro de 2026,"191,27","192,35","189,84","191,52","191,52",148.552.700
27 de janeiro de 2026,"187,24",190,"185,7","188,52","188,52",143.711.500
26 de janeiro de 2026,"187,16","189,12","185,99","186,47","186,47",124.799.600
23 de janeiro de 2026,"187,5","189,6","186,82","187,67","187,67",142.748.100
22 de janeiro de 2026,"184,75","186,17","183,93","184,84","184,84",139.535.600
21 de janeiro de 2026,"179,05","185,38","178,4","183,32","183,32",200.381.000
20 de janeiro de 2026,"181,9","182,38","177,51","178,07","178,07",223.345.300
16 de janeiro de 2026,"189,08","190,44","186,08","186,23","186,23",187.967.200
15 de janeiro de 2026,"186,5","189,7","186,33","187,05","187,05",205.188.600
14 de janeiro de 2026,"184,32","184,46","180,8","183,14","183,14",159.586.100
13 de janeiro de 2026,185,"188,11","183,4","185,81","185,81",160.128.900
12 de janeiro de 2026,"183,22","187,12","183,02","184,94","184,94",137.968.500
9 de janeiro de 2026,"185,08","186,34","183,67","184,86","184,86",131.327.500
8 de janeiro de 2026,"189,11","189,55","183,71","185,04","185,04",172.457.000
7 de janeiro de 2026,"188,57","191,37","186,56","189,11","189,11",153.543.200
